FeatureGroupIndex	FileName	MonoisotopicMass	AverageMass	StartRetentionTime(FWHM)	EndRetentionTime(FWHM)	HighestApexRetentionTime	MedianApexRetentionTime	FeatureGroupQuantity	AllAreaUnderTheCurve	SumIntensity	MinCharge	MaxCharge	ChargeCount	MostAbundantFeatureCharge	IsotopeCosineScore
1293	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	3782.168911	3784.465874	2243.610825	2268.382392	2252.438426	2252.438426	7161035.521872	8392111.492955	8392117.492955	5	7	3	6	0.854451
1294	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	6745.058016	6749.300558	6328.225328	6376.607613	6361.152573	6357.323434	5906803.421545	6357711.255413	6357728.255413	9	12	4	10	0.928182
1295	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	9669.963021	9676.021608	2137.892633	2173.239089	2141.992622	2145.988645	26688738.018447	27603654.473866	27603667.473866	7	9	3	8	0.939743
1296	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	9016.821920	9022.399815	2070.239702	2113.126125	2096.642356	2093.136300	61735087.159638	62454572.427781	62454587.427781	7	9	3	8	0.967303
1297	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	8348.090082	8353.260167	2558.793404	2598.894226	2590.246023	2590.246023	32882092.729410	32882092.729410	32882105.729410	7	11	5	11	0.852330
1298	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	11891.451083	11898.829569	1858.740763	1891.558247	1875.380362	1875.380362	14939386.208213	15064642.429629	15064660.429629	17	21	5	20	0.851625
1299	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	10346.434273	10352.892261	2816.495760	2871.538342	2833.185221	2837.145638	52592054.051095	52592054.051095	52592065.051095	8	12	5	10	0.932976
1300	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	8784.730967	8790.168391	1142.629349	1173.569697	1153.749066	1153.749066	51026223.707411	62924244.287144	62111869.011756	7	11	5	9	0.916616
1301	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	8625.717673	8631.075094	1138.764713	1177.373846	1153.749066	1153.749066	44803221.151259	57345717.201167	55878897.701083	10	17	8	11	0.971896
1302	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	8611.722464	8617.030297	1142.629349	1185.005228	1150.288217	1153.749066	57980912.815612	72358155.268260	72012453.976930	9	16	8	12	0.976505
